customer_id,age,gender,region,satisfaction_score,purchase_frequency,support_tickets,product_category,feedback_text,retention_status
ac2ed633-aa69-48a9-bf66-cd031eb7ab74,56,Female,South,6,5,1,Beauty,It's okay.,At Risk
1eddb767-727d-43e7-94dc-bf3c4f8a0f7d,69,Female,East,5,6,0,Books,It's okay.,Churned
1d3a092e-efa1-4324-bd74-f1c8b76e32fb,46,Other,East,8,5,1,Home,Best purchase ever! Love this product!,Retained
240dfb5e-28c1-40d6-b28b-b0a0a5628bb3,32,Male,South,9,7,1,Home,Excellent service! Excellent service!,Retained
d02bbc27-5b63-47fa-ba31-02c553a9ce61,60,Other,West,8,5,0,Clothing,Best purchase ever! Quick delivery.,Retained
9e82a997-a96c-4a81-ad71-54a90bda5fee,25,Male,North,8,2,1,Books,Quick delivery. Excellent service!,Retained
64eafb90-6a63-47bc-89dd-b74ad95b5171,38,Male,West,3,6,2,Books,Terrible service! Worst experience.,Churned
281ab678-09ac-43fa-82d4-246d1f430769,56,Male,North,4,3,2,Beauty,Product damaged. Never buying again.,Churned
bada8b67-fb0c-45c7-8afd-b21246b5cdfe,36,Female,West,4,3,2,Books,Product damaged. Product damaged.,Churned
5919b5cb-b878-4d44-a50c-3d2e3c59637e,40,Male,South,5,4,0,Beauty,Met expectations.,Churned
b7b13305-2ca6-43b0-a36c-a35bb6345dce,28,Female,East,9,5,1,Books,Love this product! Quick delivery.,Retained
14a7c5ed-218d-4adb-b77e-a0ffffae12d5,28,Female,West,9,5,1,Clothing,Highly recommended! Excellent service!,Retained
4e05eda1-fb99-4e71-8e92-a85a8e80b2c6,41,Female,North,10,5,1,Books,Highly recommended! Best purchase ever!,Retained
40ecb8bc-ef74-4696-a4db-ca9480b503d3,70,Female,East,1,1,1,Clothing,Worst experience. Terrible service!,Churned
083ea444-7dd7-47e0-af2b-dc9d6cf70e42,53,Male,North,8,5,1,Books,Highly recommended! Love this product!,Retained
44acc778-be69-49a7-a3f4-e580cce7d3c6,57,Male,South,1,4,3,Books,Terrible service! Terrible service!,Churned
e9bb9fda-39b7-4746-a18b-9dda6aa2b029,41,Male,East,2,1,1,Electronics,Waste of money. Product damaged.,Churned
33dd0260-7ead-411c-ab31-21196f9be4dc,20,Male,North,7,4,1,Books,It's okay.,At Risk
fafbc09b-fe8f-4333-9a9a-d9dacc46ad92,39,Male,West,8,5,2,Clothing,Best purchase ever! Quick delivery.,Retained
be87cb0c-317a-464e-a92d-a647f7f18e31,70,Male,South,1,2,2,Home,Waste of money. Worst experience.,Churned
73bcb364-29e8-4297-bfd3-ebeec92aba3e,19,Male,South,3,5,1,Clothing,Never buying again. Waste of money.,Churned
b31746fb-372d-4216-8d8e-de056802a374,41,Other,South,7,2,0,Books,Could be better.,At Risk
438bf345-1e2b-4cd0-9c9c-71b80e7d2581,61,Female,West,9,7,0,Beauty,Highly recommended! Love this product!,Retained
19dc1a3c-6a39-47a2-a6cd-7e2a0d4c61a6,47,Male,West,8,4,0,Electronics,Excellent service! Excellent service!,Retained
3383b225-8ed3-4e11-bb82-b4f63678ce49,55,Female,East,8,9,2,Beauty,Best purchase ever! Best purchase ever!,Retained
38f15570-e545-4bd5-bce7-2281cc708e8a,19,Male,West,9,7,0,Electronics,Highly recommended! Highly recommended!,Retained
ae89b43b-09e9-4dc9-8759-e33db835e3b8,38,Male,East,10,5,1,Electronics,Highly recommended! Love this product!,Retained
a229485a-1a4e-43ff-aa74-814d8ca628d7,50,Female,South,3,3,1,Beauty,Never buying again. Waste of money.,Churned
e043421b-3c33-4458-9b96-4a1ed687705d,29,Female,East,8,8,0,Books,Excellent service! Love this product!,Retained
0dc6632c-de08-440e-9d76-f63f08ab26d5,39,Male,North,1,2,1,Clothing,Product damaged. Product damaged.,Churned
0c4b8b52-348c-42f4-8a73-90c626f06778,61,Other,South,8,10,0,Beauty,Best purchase ever! Excellent service!,Retained
45f3d6ca-33e8-44bf-b4df-a868e3b5664d,42,Female,South,7,5,0,Home,Average experience.,At Risk
377c4b06-717d-43ad-9964-1c8ab6076810,66,Female,East,8,4,1,Electronics,Quick delivery. Love this product!,Retained
be8c15d2-6046-4216-8f8e-2817c541d614,44,Female,South,1,2,2,Clothing,Never buying again. Worst experience.,Churned
f561ea0a-c564-4746-b080-34a3d7bb627f,59,Female,West,6,6,0,Home,Could be better.,At Risk
5387b969-7d08-42ef-b554-02ca6b4c2c17,45,Male,North,7,6,2,Clothing,Average experience.,At Risk
54cf84d6-2ff8-4d80-8bc9-55b21c926df3,33,Male,East,5,7,0,Books,Nothing special.,Churned
4f78be0e-1c71-468e-932f-6b631897fd71,32,Male,East,5,5,0,Home,It's okay.,Churned
4fa63a90-f2e5-4996-aca6-094e4bf5f3be,64,Male,South,7,6,2,Beauty,Average experience.,At Risk
14c71366-f456-472c-9476-17ce24eddcf9,68,Female,West,3,6,3,Clothing,Waste of money. Waste of money.,Churned
f4688296-fe45-4505-8682-c0c48c3641bd,61,Male,South,6,5,2,Beauty,Met expectations.,At Risk
0a6dbf7d-bc91-40c4-9a58-b05f779146be,69,Other,South,7,4,0,Beauty,Nothing special.,At Risk
d581bd41-5653-4b3f-8c8f-8b35e2b075ff,20,Female,East,1,3,5,Clothing,Terrible service! Waste of money.,Churned
2e3bf523-f02b-48ce-b159-c3c62f87e03e,54,Female,South,2,2,2,Clothing,Never buying again. Product damaged.,Churned
d179fdef-8c0f-4476-b7bd-4dc334f47ed4,68,Female,North,4,3,2,Electronics,Worst experience. Never buying again.,Churned
9db5945a-4ab3-41b2-b633-77979ff86b8a,24,Female,South,8,10,3,Electronics,Highly recommended! Best purchase ever!,Retained
506167bf-a867-43b7-9ac6-720a5a9a0e11,38,Male,South,10,5,2,Home,Excellent service! Excellent service!,Retained
f6f0ad62-bc1f-4daf-9f1f-8380f3a45a86,26,Female,East,6,6,1,Home,Could be better.,At Risk
8a7e4df4-e5c0-44e9-98b0-054eb8c78070,56,Male,South,1,8,3,Home,Never buying again. Product damaged.,Churned
5e44f56a-3d24-45d1-b81a-0aa2cee991f1,35,Female,West,10,8,1,Electronics,Quick delivery. Quick delivery.,Retained
7eb33114-7680-4833-9b08-3b14c5278ee1,21,Male,East,5,8,1,Beauty,Nothing special.,Churned
7ac9dc81-e605-443c-8ee9-190115d9a2b4,42,Female,South,7,5,0,Books,Average experience.,At Risk
9046b873-0d1f-44a7-8998-78e6b018d2d2,31,Female,North,6,3,3,Books,Average experience.,At Risk
c524ca20-6097-4fdd-912d-ff0df32f628d,67,Male,North,9,5,1,Clothing,Quick delivery. Excellent service!,Retained
127497c6-21ec-496e-b5bf-5d0b42bd7229,26,Male,East,8,4,2,Electronics,Excellent service! Excellent service!,Retained
9e162efe-d26e-4467-9afa-72699305f917,43,Other,East,4,3,2,Clothing,Product damaged. Product damaged.,Churned
c7dc45c0-8668-4599-b2e6-0926422ccdea,70,Female,South,5,7,2,Books,Met expectations.,Churned
0d67cbad-2d48-4283-9fa6-989762f8e1be,19,Female,West,7,4,1,Clothing,Could be better.,At Risk
733b4466-7010-48ad-b37f-9ef315da1bdd,37,Female,South,8,7,1,Electronics,Excellent service! Love this product!,Retained
114b92b9-f2e7-4764-8a9c-9a2be4181754,45,Male,North,5,3,2,Electronics,Met expectations.,Churned
1fefbc6c-f0fd-404d-844e-3bacfbd9abdd,64,Male,West,9,7,0,Electronics,Quick delivery. Highly recommended!,Retained
e5e01995-2724-4a37-a3d8-5c293630b9cb,24,Male,West,10,8,1,Books,Highly recommended! Excellent service!,Retained
a8068c22-9129-436d-bdeb-c8f36cf25a35,61,Female,West,4,2,2,Electronics,Product damaged. Product damaged.,Churned
16add634-c03b-45d6-8192-a8e0b9a7bffb,25,Male,South,4,5,2,Home,Never buying again. Worst experience.,Churned
d207783a-6e20-4c23-a7c5-f6e3bc51975f,64,Female,North,8,3,0,Home,Best purchase ever! Excellent service!,Retained
d9b31c53-96e9-4918-88fa-6b87118c4bfc,52,Female,East,1,5,1,Electronics,Never buying again. Never buying again.,Churned
5984ad47-f815-4f96-8a05-cdc6877d63f1,31,Female,South,8,8,0,Home,Highly recommended! Highly recommended!,Retained
254220af-c36c-49ef-a906-2f687ecbafc2,34,Female,East,5,5,2,Electronics,Nothing special.,Churned
c13ab7bd-8add-4484-976e-e2e04e3a8537,53,Other,West,1,3,3,Books,Waste of money. Product damaged.,Churned
7cbf9d11-97a3-4c0c-b79c-0bb0816811bc,67,Male,West,4,2,2,Home,Never buying again. Terrible service!,Churned
13921b31-ff89-4e6b-96c3-e14625a00896,57,Female,South,2,1,1,Books,Product damaged. Waste of money.,Churned
f8f56ac7-ab0d-452c-9db3-8f9d1b5e4b5b,21,Female,North,4,2,3,Home,Never buying again. Terrible service!,Churned
a252512e-68e7-4572-ad65-d3f2aa293109,19,Female,West,8,5,1,Beauty,Love this product! Excellent service!,Retained
97bc6010-43e0-4f8c-9420-4178e3bd5868,23,Female,East,5,3,2,Beauty,Could be better.,Churned
9906b5a3-b236-46eb-87aa-5a887e1a3170,59,Male,East,1,0,2,Books,Waste of money. Never buying again.,Churned
a46b87ee-b99f-4b98-8961-2edb4778efe0,21,Male,South,7,3,0,Home,Met expectations.,At Risk
5eadf879-ece2-497d-ac56-e6629d6e722b,46,Female,East,1,6,2,Beauty,Terrible service! Waste of money.,Churned
89145f5b-3c58-41f1-a64f-eb78022dd818,35,Male,North,9,7,1,Electronics,Highly recommended! Highly recommended!,Retained
539ab4f1-209a-484b-81d8-e79c80a599fc,43,Female,West,3,3,3,Clothing,Worst experience. Terrible service!,Churned
044f93fb-6368-470f-aa5e-02504040eab5,61,Female,East,3,5,3,Beauty,Waste of money. Waste of money.,Churned
ec11bd53-fa33-42b5-8904-1cbd2b1ea01d,51,Male,East,6,7,1,Beauty,It's okay.,At Risk
0c7260aa-42ca-48d4-b984-df3e75622df2,27,Female,West,10,3,1,Electronics,Best purchase ever! Highly recommended!,Retained
43eaa73c-411b-499f-b097-70c732ad5396,53,Male,South,6,2,1,Beauty,Could be better.,At Risk
03a700d1-f6c6-4346-bc36-769642bdff93,31,Female,East,6,6,0,Beauty,Average experience.,At Risk
37fb5f22-c245-4a07-b2d2-fd92ad7ba164,48,Female,South,1,3,2,Beauty,Terrible service! Never buying again.,Churned
72e7d988-b0ad-458f-9548-630a4e2807e6,65,Female,South,5,5,0,Home,Could be better.,Churned
93cbce9d-8cd7-4928-9ec0-9fd889c7a306,32,Male,East,6,3,0,Beauty,Average experience.,At Risk
dc6f7c6d-6a07-44be-894a-84e75d3a6cb5,25,Male,North,8,5,0,Clothing,Love this product! Highly recommended!,Retained
87c3091d-3c69-4ae7-97d1-c3d625e62703,31,Female,South,1,4,1,Home,Never buying again. Worst experience.,Churned
ee8a5eff-50c2-4cd2-b13f-2379c305d2c6,40,Female,East,5,3,0,Home,Could be better.,Churned
f6cdc5d2-1e52-42e4-8daa-c11cef4f94db,57,Female,South,3,6,3,Books,Product damaged. Product damaged.,Churned
ec563fd8-af35-4ece-be7e-0a1797660ca0,38,Male,West,2,2,1,Beauty,Product damaged. Worst experience.,Churned
de8bfeb0-be2b-4c74-9c90-3aadb3c2f3a5,33,Male,North,8,6,1,Clothing,Best purchase ever! Love this product!,Retained
fa3ff400-e68b-40f3-a90e-b0cb67a1665d,62,Male,North,7,4,1,Clothing,Could be better.,At Risk
